Date,Numero_1,Numero_2,Numero_3,Numero_4,Numero_5,Etoile_1,Etoile_2,Tirage
06/06/2025,20,21,29,30,35,2,12,1848
03/06/2025,12,15,38,47,48,5,7,1847
30/05/2025,4,7,14,33,36,1,5,1846
27/05/2025,12,30,38,40,41,4,12,1845
23/05/2025,10,29,43,46,49,7,12,1844
20/05/2025,1,8,13,29,47,5,6,1843
16/05/2025,6,9,25,37,46,6,12,1842
13/05/2025,9,19,44,47,50,2,9,1841
09/05/2025,15,18,25,29,47,5,9,1840
06/05/2025,8,23,24,47,48,4,9,1839
02/05/2025,3,5,19,21,49,1,10,1838
29/04/2025,2,9,24,30,41,1,11,1837
25/04/2025,13,22,32,39,41,1,12,1836
22/04/2025,7,28,33,37,47,9,12,1835
18/04/2025,20,27,35,39,48,3,8,1834
15/04/2025,3,31,33,38,44,6,12,1833
11/04/2025,14,28,34,46,49,3,8,1832
08/04/2025,3,14,15,48,49,1,7,1831
04/04/2025,27,39,41,45,50,5,7,1830
01/04/2025,9,24,30,46,49,4,12,1829
28/03/2025,10,21,30,42,45,1,9,1828
25/03/2025,1,3,18,33,36,2,6,1827
21/03/2025,9,17,18,21,50,5,12,1826
18/03/2025,4,9,35,46,50,8,11,1825
14/03/2025,8,10,33,35,49,2,9,1824
11/03/2025,13,36,37,42,47,7,11,1823
07/03/2025,6,10,27,32,48,3,8,1822
04/03/2025,15,20,29,35,42,2,9,1821
28/02/2025,7,16,31,43,46,5,9,1820
25/02/2025,17,22,23,24,44,6,11,1819
21/02/2025,1,3,11,20,43,2,11,1818
18/02/2025,5,14,25,26,40,5,7,1817
14/02/2025,4,14,31,36,38,3,10,1816
11/02/2025,3,21,36,41,46,1,6,1815
07/02/2025,10,23,24,29,45,8,10,1814
04/02/2025,3,4,29,39,43,5,10,1813
31/01/2025,22,30,41,44,49,2,7,1812
28/01/2025,9,37,41,42,49,1,9,1811
24/01/2025,2,11,19,30,49,3,8,1810
21/01/2025,6,8,14,27,41,4,5,1809
17/01/2025,8,15,24,35,42,6,8,1808
14/01/2025,18,20,29,41,48,5,9,1807
10/01/2025,12,27,36,37,42,6,7,1806
07/01/2025,20,33,35,41,47,4,12,1805
03/01/2025,3,19,29,35,37,1,9,1804
31/12/2024,19,24,26,28,33,8,12,1803
27/12/2024,12,22,27,33,45,4,8,1802
24/12/2024,6,10,16,23,24,11,12,1801
20/12/2024,10,14,21,33,50,6,9,1800
17/12/2024,1,3,4,21,29,2,7,1799
13/12/2024,1,15,25,42,50,4,10,1798
10/12/2024,5,24,25,29,47,5,9,1797
